Select,Situation_Name,Description,Key_Contextual_Factors,Associated_Problem_Or_Opportunity,Frequency_Or_Commonality_Indication,Source_Document_Reference,Evidence_Snippets,Keywords,Associated_Problem_Or_Challenge,Key_Framework_Factors
true,Using Hair Shine Products Inspired by TikTok Trends,"A user encounters a popular hair gloss product that is widely talked about on TikTok, aiming to achieve glossy, shiny hair. The environment is social media-driven, with the user actively seeking trending beauty solutions for hair shine.","['Time pressure', 'Social media influence', 'Trend-driven environment', 'Desire for glossy hair']","Seeking effective, trending hair products that deliver noticeable shine and gloss.","Commonly reported, trending scenario",guides and reviews from user 'OVERTONECOLOR',"['That glossy finish is amazing!', 'This shine is unmatched', 'The gloss is everything']","['hair shine', 'TikTok trend', 'glossy hair', 'beauty product', 'hair routine']",,
true,Daily Skincare Routine with Natural Ingredients,"A user performs their daily skincare routine using natural, minimalist products like peeling sugar scrub, body butter, and nourishing creams. The environment is home-based, focusing on consistent, simple skincare with natural ingredients.","['Everyday environment', 'Natural ingredients', 'Minimalist skincare', 'Home routine']","Maintaining healthy, moisturized skin with simple, effective, natural products.","Daily routine, commonly reported",Instagram post by 'Klaudia | content creator',"['Idealne do codziennej pielęgnacji', 'naturalne składniki, minimalistyczna pielęgnacja', 'skóra miękka i nawilżona']","['skincare', 'natural ingredients', 'daily routine', 'moisturizing', 'minimalist']",,
true,Post-Makeup Removal and Skin Care at End of Day,"A user unwinds after a long day by removing makeup with a dedicated cleanser, followed by serum, moisturizer, and eye cream, to show their skin love and care before sleep.","['Evening routine', 'Post-work relaxation', 'Skin care for sensitive skin']","Deep cleaning and nourishing skin after makeup removal for healthy, glowing skin.",Regular evening activity,Instagram post by 'kanchan_serai',"['Deep cleans without stripping', 'show my skin some love before beauty sleep', 'skin truly tank me']","['makeup removal', 'night skincare', 'hydrating cleanser', 'sensitive skin', 'skin love']",,
true,"Seeking a Natural, Brightening Face Pack for Sun Tan Removal","A user looks for a natural solution to brighten skin, remove tan, and exfoliate, using a traditional herbal face pack suitable for post-sun care or regular use at home.","['Sun exposure', 'Natural ingredients', 'home-based skincare', 'tan removal']",,"Occasional, especially post-sun",Instagram post by 'Mamaearth',"['Brighten your skin naturally', 'Remove sun tan & uneven patches', 'gently exfoliate dead skin cells']","['brightening', 'tan removal', 'herbal face pack', 'sun care', 'natural glow']","Dullness, uneven skin tone, and tanning due to sun exposure.",
true,"Morning Routine for Hydrated, Sensitive Skin","A user begins their day by using a hydrating, fragrance-free cleanser to deeply cleanse sensitive, dehydrated skin, aiming for a fresh, plump complexion.","['Morning routine', 'Dehydrated skin', 'sensitive skin', 'fragrance-free environment']","Achieving hydrated, non-stripped skin to start the day.",Daily morning activity,Instagram post by 'hadalaboarabia',"['Deeply cleanses without stripping', 'fragrance-free, sooo good for sensitive, dehydrated skin', 'hydrated skin']","['hydration', 'sensitive skin', 'fragrance-free', 'morning routine', 'deep cleanse']",,
true,Nighttime Skin Care Routine for Sensitive and Glowing Skin,"A user unwinds at night with a routine that includes a hydrating cleanser, serum, moisturizer, and skin massage to show skin love and achieve a glowing complexion.","['Night routine', 'Sensitive skin', 'skin love', 'glowing skin']",Maintaining skin hydration and glow overnight.,Daily evening routine,Instagram post by 'kanchan_serai',"['show my skin some love before beauty sleep', 'skin truly tank me', 'hydrating cleanser']","['night routine', 'hydration', 'glowing skin', 'sensitive skin', 'skin love']",,
true,Seeking a Brightening Eye Serum for Under-Eye Darkness,"A user looks for an eye serum that can instantly brighten and depuff under-eye dark circles, aiming for a quick, targeted treatment to improve eye area appearance.","['Targeted skincare', 'dark circles', 'depuffing', 'instant results']",Reducing under-eye darkness and puffiness for a brighter look.,Occasional or as-needed,Biossance product announcement,"['clinically shown to instantly brighten, depuff, and visibly reduce dark circles', 'targeted step', 'brighten and reduce dark circles']","['brightening', 'dark circles', 'depuffing', 'eye serum', 'instant results']",,
true,Post-Work Skin Refresh with Hydrating Cleanser,"A user returns home after work and uses a hydrating cleanser, serum, moisturizer, and eye cream to refresh and care for sensitive skin, aiming for a glowing, healthy complexion.","['Post-work routine', 'home environment', 'sensitive skin', 'skin refresh']",Deep cleansing and nourishing skin after a long day to restore glow and hydration.,Daily after work,Instagram post by 'karenlaughridge',"['deep cleans without stripping', 'skin glowing after it', 'show my skin some love before beauty sleep']","['post-work routine', 'hydrating cleanser', 'glowing skin', 'sensitive skin', 'skin care']",,
true,Using Skincare Inspired by a Makeup Artist’s Day in Thailand,"A makeup artist describes her routine during a project in Thailand, focusing on achieving a skin-forward, minimal coverage, glowing skin under challenging conditions like heat and humidity.","['Travel environment', 'hot & humid climate', 'professional makeup setting', 'skin-focused makeup']","Achieving and maintaining a natural, glowing skin look in challenging environmental conditions.","Event-specific, during professional work",Instagram post by 'BEXX7',"['delicate hands, minimal coverage, maximum impact', 'skin-forward, glow', 'the glow? That was you, Rebecca']","['glowing skin', 'minimal makeup', 'professional routine', 'heat & humidity', 'skin-focused']",,
true,Shopping for Skincare Deals During Prime Day,"User is browsing Amazon during Prime Day Sale, looking to stock up on natural skincare products like essential oils and skincare ranges at discounted prices.","['Time-limited sale', 'Online shopping', 'Interest in natural skincare', 'Discounts up to 60%']",Opportunity to purchase skincare products at reduced prices to enhance personal self-care routine.,Occasional event,First excerpt,"['Soulflower is up to 60% OFF on Amazon Prime Day Sale! 🛍️', 'Time to stock up and glow up! 💚']","['Prime Day', 'Skincare', 'Discount', 'Essential Oils', 'Sale']",,
true,Choosing Natural Skincare Products for Self-Care,"User posts about using products from Soulflower and Sobioetic, emphasizing natural ingredients, gentle care, and the desire to do good for their skin and environment.","['Interest in organic and vegan beauty', 'Concern for natural ingredients', 'Focus on eco-friendly products']","Need for effective, natural skincare options that align with eco-conscious values.",Regular or habitual,Second excerpt,"['Mit den Pflegeprodukten von @sobio_etic fühlt sich meine Haut nicht nur weich und gepflegt an ich weiss auch: Ich tue etwas Gutes.', '💚 99% natürliche Inhaltsstoffe', 'Gibt’s bei @coop.ch & @migros']","['Natural Beauty', 'Vegan', 'Eco-friendly', 'Skincare', 'Organic']",,
true,Evaluating Cosmetic Product Safety and Ingredients,"User seeks detailed analysis of cosmetic ingredients and safety profiles for various personal care products, including shampoos, sunscreens, and cosmetics, to ensure they are safe and clean.","['Concern for ingredient safety', 'Preference for clean and non-toxic products', 'Research-driven decision making']","Identifying and choosing safe, non-toxic products for personal and family use.","Regular, ongoing investigation",Third excerpt,"['Merci 🙏🏼 | Bonjour Melina , je profites de ta publication pour te demander l’analyse sur le masque stick peau nette de respire ?', 'https://pubchem.ncbi.nlm.nih.gov/compound/3014969', 'https://www.inrs.fr/dam/ficheTox/FicheFicheTox/FICHETOX_226-1.pdf']","['Ingredient analysis', 'Toxicity', 'Clean beauty', 'Product safety', 'Cosmetics']",,
true,Using Natural Hygiene and Sanitary Products,"User advocates for and chooses natural, biodegradable, and hypoallergenic hygiene products like hemp line products, emphasizing environmental sustainability and skin sensitivity.","['Concern for sensitive skin', 'Preference for biodegradable and eco-friendly products', 'Natural fibers like hemp']","Desire for gentle, natural, and environmentally friendly hygiene products for daily use.",Regular use,Fourth excerpt,"['Produkty z linii Cleanic Naturals Hemp od podpasek, przez płatki kosmetyczne, aż po patyczki zawierają naturalne włókna konopne...', 'Konopie są w 100% biodegradowalne, potrzebują nawet 5 razy mniej wody niż bawełna', 'Ja wybieram to, co naturalne – bez kompromisów.']","['Natural hygiene', 'Biodegradable', 'Hemp', 'Eco-friendly', 'Hypoallergenic']",,
true,Seeking Product Recommendations and Analyses for Personal Care,"User actively requests analysis and opinions on various personal care products including shampoos, deodorants, baby products, and specific brands, to find safe, effective, and clean options.","['Concern about ingredient safety', 'Looking for clean, effective products', 'Family and baby use considerations']","Finding trustworthy, safe personal care products suitable for sensitive skin and children.",Frequent inquiry,Fifth excerpt,"['J’ai fait ma petite analyse compo avec l’aide de l’article sur ton blog, j’ai trouvé seulement 2 ou 3 ingrédients irritants.', 'Je suis curieuse de savoir si les shampoings et savons love beauty and planet sont cleans ?', 'J’aimerais connaître votre avis sur les fluides de jour Dr Hauscka.']","['Product analysis', 'Clean beauty', 'Sensitive skin', 'Family products', 'Brand reviews']",,
